about,About,关于,О программе,Darbāre,Про програму
advanced_settings,Advanced settings,高级设置,Расширенные настройки,Tanzimāt-e pīšrafte,Розширені налаштування
account_info,Account Info,帐户信息,Информация об аккаунте,Eṭṭelā'āt-e ḥesāb,Інформація про обліковий запис
auto,Auto,自动,Авто,Xodkār,Автоматично
broker,Broker server,Broker服务器,Брокерский сервер,Serveur de courtier,Сервер брокера
broker_direct,Direct,直连,Прямой,Direct,Прямий
broker_direct_tcp,Direct (TCP),直连（TCP）,Прямой (TCP),Direct (TCP),Прямий (TCP)
broker_fronted,Fronted,前置,Передний,Façade,Фронтальний
broker_fronted_front,Front,前置,Фронт-сервер,Frontal,Фронт
broker_fronted_host,Host,主机名,Имя хоста,Nom d'hôte,Хост
broker_none,Default,默认,По умолчанию,Défaut,За замовчуванням
cancel,Cancel,取消,Отмена,Lagv,Скасувати
connect,Connect,连接,Подключить,Etesāl,Підключитися
connected,Connected,已连接,Подключено,Mottasel,Підключено
connecting,Connecting,正在连接,Подключение,Dar ḥāl-e etteṣāl,Підключення
connection_time,Connection time,连接时间,Время соединения,Zamān-e etesāl,Час підключення
country_ar,Argentina,阿根廷,Аргентина,Argentīn,Аргентина
country_at,Austria,奥地利,Австрия,Otrīsh,Австрія
country_au,Australia,澳大利亚,Австралия,Ostūrālīyā,Австралія
country_be,Belgium,比利时,Бельгия,Beljīk,Бельгія
country_br,Brazil,巴西,Бразилия,Brazīl,Бразилія
country_ca,Canada,加拿大,Канада,Kānādā,Канада
country_ch,Switzerland,瑞士,Швейцария,Ravīz,Швейцарія
country_cl,Chile,智利,Чили,Chīlī,Чилі
country_cn,China,中国,Китай,Chīn,Китай
country_co,Colombia,哥伦比亚,Колумбия,Kolūmbīyā,Колумбія
country_cz,Czech Republic,捷克,Чехия,Chek,Чехія
country_de,Germany,德国,Германия,Ālmān,Німеччина
country_dk,Denmark,丹麦,Дания,Dānmārk,Данія
country_eg,Egypt,埃及,Египет,Mesr,Єгипет
country_es,Spain,西班牙,Испания,Espānyā,Іспанія
country_fi,Finland,芬兰,Финляндия,Fenlānd,Фінляндія
country_fr,France,法国,Франция,Farānse,Франція
country_gb,United Kingdom,英国,Великобритания,Engelīs,Велика Британія
country_gr,Greece,希腊,Греция,Yūnān,Греція
country_hr,Croatia,克罗地亚,Хорватия,Korūtīyā,Хорватія
country_hu,Hungary,匈牙利,Венгрия,Majarstān,Угорщина
country_id,Indonesia,印尼,Индонезия,Īndonīzīyā,Індонезія
country_ie,Ireland,爱尔兰,Ирландия,Īrlānd,Ірландія
country_il,Israel,以色列,Израиль,Isrā'īl,Ізраїль
country_in,India,印度,Индия,Hend,Індія
country_ir,Iran,伊朗,Иран,Īrān,Іран
country_it,Italy,意大利,Италия,Ītālīyā,Італія
country_jp,Japan,日本,Япония,Jāpān,Японія
country_mx,Mexico,墨西哥,Мексика,Meksīkā,Мексика
country_ng,Nigeria,尼日利亚,Нигерия,Nījīrīyā,Нігерія
country_nl,Netherlands,荷兰,Нидерланды,Holand,Нідерланди
country_no,Norway,挪威,Норвегия,Narvēj,Норвегія
country_nz,New Zealand,新西兰,Новая Зеландия,Zelānd-e Now,Нова Зеландія
country_ph,Philippines,菲律宾,Филиппины,Felīpīn,Філіппіни
country_pl,Poland,波兰,Польша,Lāhestān,Польща
country_pt,Portugal,葡萄牙,Португалия,Portoghāl,Португалія
country_ro,Romania,罗马尼亚,Румыния,Romānīyā,Румунія
country_ru,Russia,俄罗斯,Россия,Rūsīye,Росія
country_sa,Saudi Arabia,沙特阿拉伯,Саудовская Аравия,Arabestān-e Sa'ūdī,Саудівська Аравія
country_se,Sweden,瑞典,Швеция,Sved,Швеція
country_sg,Singapore,新加坡,Сингапур,Sīngāpūr,Сінгапур
country_sk,Slovakia,斯洛伐克,Словакия,Slovākīyā,Словаччина
country_th,Thailand,泰国,Таиланд,Tāīlānd,Таїланд
country_tr,Turkey,土耳其,Турция,Torkīye,Туреччина
country_tw,Taiwan,台湾,Тайвань,Tāyvān,Тайвань
country_ua,Ukraine,乌克兰,Украина,Okrāīn,Україна
country_us,United States,美国,Соединенные Штаты,Īālāt-e Mottaḥed-e Amrīkā,Сполучені Штати
country_ve,Venezuela,委内瑞拉,Венесуэла,Venēzūelā,Венесуела
country_za,South Africa,南非,Южная Африка,Afrīqā-ye Jonūbī,Південна Африка
china_passthrough,Passthrough Chinese traffic,不代理中国流量,Пропуск китайского трафика,ʿObūr az tarāffic-e Chīnī,Пропуск китайського трафіку
dashboard,Dashboard,仪表盘,Приборная панель,Dāšbord,Панель керування
data_used,Data used,已用流量,Использ. данные,Dādehā-ye maṣraf-šode,Використані дані
disconnect,Disconnect,断开连接,Отключить,Qat'-e etesāl,Відключитися
disconnected,Disconnected,已断开连接,Отключено,Qat' šode ast,Відключено
download_speed,Download speed,下载速度,Скорость загрузки,Sor'at-e dānlod,Швидкість завантаження
exit,Exit,退出,Выход,Koruj,Вихід
exit_location,Exit location,出口位置,Выходная точка,Makān-e xoroj,Місце виходу
export_logs,Export Logs,导出日志,Экспорт журналов,Ṣodūr-e lāg-hā,Експортувати журнали
geph,Geph,迷雾通,Геф,Gef,Геф
geph_already_running,Geph is already running,Geph 已在运行,Geph уже запущен,Geph dar ḥāl-e ejrā ast,Геф уже запущено
help,Help,帮助,Помощь,Rāhnamā,Допомога
http_proxy_port,HTTP proxy port,HTTP代理端口,HTTP-прокси-порт,HTTP proxy port,Порт HTTP-проксі
language,Language,语言,Язык,Zabān,Мова
loading,Loading,加载中,Загрузка,Dar hāl-e bārgozārī,Завантаження
loading_exit_list,Loading exit list...,正在加载出口列表...,Загрузка списка выходов...,Dar hāl-e bārgozārī-ye liste xuruji-hā,Завантаження списку виходів...
logging_in,Logging in,登录中,Вход в систему,Dar hāl-e vorūd,Вхід
login,Login,登录,Вход,Vorūd,Увійти
logout,Logout,登出,Выход,Az vorūd khārej shodan,Вийти
logs,Logs,日志,Журналы,Lāg-hā,Журнали
network_settings,Network Settings,网络设置,Настройки сети,Tanzimāt-e šabake,Налаштування мережі
ok,OK,确定,ОК,Tayīd,Гаразд
password,Password,密码,Пароль,Ramz-e 'obur,Пароль
preferences,Preferences,首选项,Настройки,Tanzimāt-e 'olaviyat,Налаштування
protocol,Protocol,协议,Протокол,Protokol,Протокол
proxy_autoconf,Auto-configure proxy,自动配置代理,Автоматическая настройка прокси,Peykarbandī-ye xodkār-e proxy,Автоматичне налаштування проксі
save,Save,保存,Сохранить,Zaxīre,Зберегти
selected_server,Selected Server,选定的服务器,Выбранный сервер,Sarvar-e entexābī,Обраний сервер
server,Server,服务器,Сервер,Sarvar,Сервер
settings,Settings,设置,Настройки,Tanzimāt,Налаштування
socks5_port,Socks5 proxy port,Socks5代理端口,Порт прокси Socks5,Socks5 proxy port,Порт Socks5-проксі
status,Status,状态,Статус,Vazīyat,Статус
upload_speed,Upload speed,上传速度,Скорость отдачи,Sor'at-e āplod,Швидкість відправлення
username,Username,用户名,Имя пользователя,Nām-e karbarī,Ім'я користувача
via,Connecting via,连接经由,Через,Az ṭarīq-e,Підключення через
vpn_admin_only,VPN mode only works if Geph is run as administrator or using sudo on Linux,VPN 模式仅在迷雾通以管理员身份运行或在 Linux 上使用 sudo 时才有效,VPN режим работает только если Geph запущен от имени администратора или с использованием sudo в Linux,VPN mod faqat dar surati kaar mikonad ke Geph be onvān modir ejrā shavad yā dar Linux az sudo estefādeh shavad,Режим VPN працює лише якщо Геф запущено від імені адміністратора або з використанням sudo в Linux
vpn_mode,VPN mode,VPN模式,VPN режим,Mod-e VPN,Режим VPN
zoom_factor,Zoom factor,缩放,Масштабирование,Zarīb-e bozorg-namā'ī,Коефіцієнт масштабування
